,RADeg,decDeg,,
Abell 141,16.375976,-24.6548418,X,Not in DECaLS
Abell S295,41.39916667,-53.038,,
PLCK G200.9-28.2,72.587083,-2.949333,,
MACS J0025.4-1222,6.37242083,-12.37696111,,
MACS J0417.5-1154,64.39416667,-11.90888889,,
RXC J0510.7-0801,77.68270833,-8.02027778,X,Not in DECaLS
RXC J0520.7-1328,80.175,-13.48027778,X,Not in DECaLS
RXC J0117.8-5455,19.46041667,-54.92388889,,
RXC J0217.2-5244,34.3293818,-52.7182565,,
RXC J0225.9-4154,36.4623777,-41.9213823,,
RXC J0232.2-4420,38.077875,-44.34486111,,
RXC J0303.7-7752,46.05,-77.88333333,X,Not in DECaLS
MCXC J0406.7-7116,61.6875,-71.26472222,X,Not in DECaLS
MCXC J0416.7-5525,64.18666667,-55.41916667,,
MCXC J0510.2-4519,77.64041667,-45.32277778,,
MCXC J0516.6-5430,79.15583333,-54.50041667,,
MCXC J0528.9-3927,82.23416667,-39.46361111,,
RDCS J0542.8-4100,85.70791667,-40.99944444,,
MCXC J0610.5-4848,92.63333333,-48.80722222,,
RXC J0637.3-4828,99.3256471,-48.4839993,,
RXC J0638.7-5358,99.70583333,-53.978,,
RXC J1423.7-5412,215.93041667,-54.20333333,X,Not in DECaLS
